PID,GrLivArea,SalePrice,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,FlrSF1st,FlrSF2nd,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,MapRefNo,Prop_Addr,YearBuilt_Group,HouseAge,RemodAge,TotalSF,TotalBath,RoadRail,GoodGarageType,Zone,CulDSac,Exterior1st_top,TwoStory,ExQual,LargerHouse,Remod,ExBsmtQual,HasFireplace,ExKitchen,ExterQual,BsmtQual,KitchenQual,ExterCond,Location_2,Location_3,Location_4,Foundation_CBlock,Foundation_PConc,Foundation_Slab,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE,full_address,latitude,longitude
923252075,1091,131250,80,RL,62.0,7706,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,SLvl,6,5,1993,1996,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,Av,Rec,114.0,GLQ,270.0,0.0,384.0,GasA,Ex,1,SBrkr,1091,0,0,0.0,1.0,1,0,2,1,5,Typ,0,None,Attchd,1993.0,Fin,1.0,429.0,TA,TA,Y,280,0,0,0,0,None,Shed,700,8,2009,WD ,Normal,923252075.0,424 TEAGARDEN DR,1980-1999,16,13,1475.0,1.5,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,3.0,1,0,0,1,0,0,0,0,0,0,"424 TEAGARDEN DR, Iowa, United STATES",41.98752773737374,-93.60618059595959
531376060,1486,181000,20,RL,65.0,7441,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,170.0,TA,No,Unf,0.0,Unf,0.0,1461.0,1461.0,GasA,Ex,1,SBrkr,1486,0,0,0.0,0.0,2,0,3,1,7,Typ,0,None,Attchd,2006.0,RFn,2.0,566.0,TA,TA,Y,0,32,0,0,0,None,None,0,6,2007,WD ,Normal,531376060.0,1514 CALIFORNIA AVE,2000 and later,1,1,2947.0,2.0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,2.0,1,0,0,0,1,0,0,0,0,0,"1514 CALIFORNIA AVE, Iowa, United STATES",41.63569163305222,-91.51428343952172
923228080,1092,98000,160,RM,21.0,1477,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,2Story,6,9,1970,2007,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,No,GLQ,358.0,Unf,0.0,188.0,546.0,GasA,Ex,1,SBrkr,546,546,0,0.0,0.0,2,1,3,1,6,Typ,0,None,None,1970.0,None,0.0,0.0,None,None,Y,187,0,0,0,0,None,None,0,3,2008,WD ,Normal,923228080.0,626 MEADOW PL,1940-1979,38,1,1638.0,2.5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,0,0,0,1,0,0,0,0,1,0,"626 MEADOW PL, Iowa, United STATES",41.99215551070729,-93.60308638866339
902326030,2640,265979,70,RM,65.0,11700,Pave,Pave,IR1,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,2Story,7,7,1880,2003,Mansard,CompShg,Stucco,Stucco,None,0.0,Fa,No,Unf,0.0,Unf,0.0,1240.0,1240.0,GasW,TA,0,SBrkr,1320,1320,0,0.0,0.0,1,1,4,1,8,Typ,1,Gd,Detchd,1950.0,Unf,3.0,864.0,TA,TA,N,181,0,386,0,0,None,None,0,5,2009,WD ,Normal,902326030.0,829 DOUGLAS AVE,Before 1900,129,6,3880.0,1.5,0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,3.0,2.0,0,0,0,0,0,0,0,0,0,0,"829 DOUGLAS AVE, Iowa, United STATES",41.62958984210526,-93.62864857894736
916386140,1466,201000,20,RL,73.0,8925,Pave,None,IR1,HLS,AllPub,Inside,Gtl,Timber,Norm,Norm,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Av,GLQ,16.0,Unf,0.0,1450.0,1466.0,GasA,Ex,1,SBrkr,1466,0,0,0.0,0.0,2,0,3,1,7,Typ,0,None,Attchd,2007.0,Fin,3.0,610.0,TA,TA,Y,100,18,0,0,0,None,None,0,7,2009,WD ,Normal,916386140.0,3028 COTTONTAIL LN,2000 and later,2,2,2932.0,2.0,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,2.0,0,0,1,0,1,0,0,0,0,0,"3028 COTTONTAIL LN, Iowa, United STATES",41.994931209457846,-93.650374
534128010,2090,200000,60,RL,80.0,10382,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,TA,Mn,ALQ,859.0,BLQ,32.0,216.0,1107.0,GasA,Ex,1,SBrkr,1107,983,0,1.0,0.0,2,1,3,1,7,Typ,2,TA,Attchd,1973.0,RFn,2.0,484.0,TA,TA,Y,235,204,228,0,0,None,Shed,350,11,2009,WD ,Normal,534128010.0,1636 JOHNSON ST,1940-1979,36,36,3197.0,3.5,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,2.0,2.0,1,0,0,1,0,0,0,0,0,0,"1636 JOHNSON ST, Iowa, United STATES",41.521384204081635,-93.63844228571429
528106110,2046,450000,20,RL,105.0,15431,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Story,10,5,2005,2006,Hip,CompShg,VinylSd,VinylSd,BrkFace,400.0,TA,Gd,GLQ,1430.0,Unf,0.0,564.0,1994.0,GasA,Ex,1,SBrkr,2046,0,0,1.0,0.0,2,1,2,1,7,Typ,2,Gd,Attchd,2005.0,Fin,3.0,878.0,TA,TA,Y,188,65,0,0,175,None,None,0,8,2007,WD ,Normal,528106110.0,3331 WESTON DR,2000 and later,2,1,4040.0,3.5,0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,4.0,2.0,0,0,1,0,1,0,0,0,0,0,"3331 WESTON DR, Iowa, United STATES",42.06129117942748,-93.65753648637376
902206260,886,91300,30,RM,50.0,5784,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Story,5,8,1938,1996,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,No,Unf,0.0,Unf,0.0,190.0,190.0,GasA,Gd,1,FuseA,886,0,0,0.0,0.0,1,0,2,1,4,Typ,0,None,Attchd,1938.0,Unf,1.0,273.0,TA,TA,Y,144,20,80,0,0,None,None,0,12,2009,WD ,Normal,902206260.0,926 DUFF AVE,1900-1939,71,13,1076.0,1.0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,"926 DUFF AVE, Iowa, United STATES",42.03109366137248,-93.61045453926471
903400180,1848,207000,50,RL,64.0,13053,Pave,Pave,Reg,Bnk,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1.5Fin,6,7,1923,2000,Gambrel,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,No,Unf,0.0,Unf,0.0,833.0,833.0,GasA,Gd,1,SBrkr,1053,795,0,0.0,0.0,1,1,4,1,8,Typ,1,Gd,Detchd,1922.0,Unf,2.0,370.0,TA,TA,N,0,0,0,0,220,None,None,0,6,2008,WD ,Normal,903400180.0,816 BROOKRIDGE AVE,1900-1939,85,8,2681.0,1.5,0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,3.0,2.0,0,0,0,0,0,0,0,0,0,0,"816 BROOKRIDGE AVE, Iowa, United STATES",42.02954372815348,-93.62737676136398
535453210,1269,155000,20,RL,70.0,7931,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Story,5,6,1960,1960,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,TA,No,BLQ,374.0,LwQ,532.0,363.0,1269.0,GasA,TA,1,FuseA,1269,0,0,0.0,0.0,1,1,3,1,6,Typ,1,Fa,Detchd,1964.0,Unf,1.0,308.0,TA,TA,Y,0,0,0,0,0,None,None,0,6,2008,WD ,Normal,535453210.0,1522 MAXWELL AVE,1940-1979,48,48,2538.0,1.5,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,1,0,0,1,0,0,0,0,0,0,"1522 MAXWELL AVE, Iowa, United STATES",42.037273779743664,-93.60675880919582
907181090,1749,196000,60,RL,68.0,9272,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,2Story,7,5,1999,1999,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,No,GLQ,500.0,Unf,0.0,342.0,842.0,GasA,Ex,1,SBrkr,856,893,0,0.0,0.0,2,1,3,1,7,Typ,0,None,Attchd,1999.0,RFn,2.0,515.0,TA,TA,Y,140,85,0,0,0,None,None,0,6,2006,WD ,Normal,907181090.0,5408 CERVANTES DR,1980-1999,7,7,2591.0,2.5,0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,2.0,0,1,0,0,1,0,0,0,0,0,"5408 CERVANTES DR, Iowa, United STATES",42.017335540535086,-93.69270120197211
902206020,492,61500,30,RM,52.0,7830,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Story,3,5,1921,1950,Gable,CompShg,AsbShng,AsbShng,None,0.0,TA,No,LwQ,416.0,Unf,0.0,76.0,492.0,GasA,TA,1,SBrkr,492,0,0,1.0,0.0,1,0,1,1,3,Typ,0,None,Detchd,1921.0,Unf,1.0,200.0,Fa,TA,N,0,0,78,0,0,None,None,0,6,2006,WD ,Normal,902206020.0,118 E 11TH ST,1900-1939,85,56,984.0,2.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,"118 E 11TH ST, Iowa, United STATES",41.53065497959184,-90.57366571428571
527327050,2030,195000,60,RL,65.0,12046,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,2Story,6,6,1976,1976,Gable,CompShg,Plywood,Plywood,BrkFace,298.0,TA,No,LwQ,156.0,Unf,0.0,692.0,848.0,GasA,TA,1,SBrkr,1118,912,0,0.0,0.0,2,1,4,1,8,Typ,1,TA,Attchd,1976.0,Fin,2.0,551.0,TA,TA,Y,0,224,0,0,0,None,None,0,6,2007,WD ,Normal,527327050.0,3323 BUCHANAN CT,1940-1979,31,31,2878.0,2.5,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,2.0,1,0,0,1,0,0,0,0,0,0,"3323 BUCHANAN CT, Iowa, United STATES",42.05450581967213,-93.6315601147541
527455250,988,129250,20,RL,65.0,7150,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Story,5,6,1966,1966,Hip,CompShg,HdBoard,HdBoard,BrkFace,52.0,TA,No,BLQ,725.0,Unf,0.0,263.0,988.0,GasA,TA,1,SBrkr,988,0,0,1.0,0.0,1,0,3,1,5,Typ,0,None,Detchd,1974.0,Unf,1.0,360.0,TA,TA,Y,0,0,0,0,0,None,None,0,11,2007,WD ,Normal,527455250.0,1115 28TH ST,1940-1979,41,41,1976.0,2.0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,1,0,0,1,0,0,0,0,0,0,"1115 28TH ST, Iowa, United STATES",41.59876266666667,-93.654365
528326110,2172,291000,60,RL,60.0,11000,Pave,None,Reg,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,2Story,9,5,2000,2000,Hip,CompShg,VinylSd,VinylSd,BrkFace,295.0,TA,Mn,Unf,0.0,Unf,0.0,1519.0,1519.0,GasA,Ex,1,SBrkr,1533,639,0,0.0,0.0,2,1,4,1,8,Typ,1,TA,BuiltIn,2000.0,RFn,3.0,687.0,TA,TA,Y,162,153,0,0,0,None,None,0,6,2008,WD ,Normal,528326110.0,3013 ALMOND RD,1980-1999,8,8,3691.0,2.5,0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,4.0,4.0,2.0,0,0,1,0,1,0,0,0,0,0,"3013 ALMOND RD, Iowa, United STATES",42.05578479212245,-93.65110150218392
914452190,1080,134000,20,RL,71.0,9187,Pave,None,Reg,Bnk,AllPub,Corner,Gtl,Mitchel,Norm,Norm,1Story,6,5,1983,1983,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,No,ALQ,336.0,Unf,0.0,748.0,1084.0,GasA,TA,1,SBrkr,1080,0,0,0.0,0.0,1,1,3,1,5,Typ,0,None,Attchd,1983.0,Unf,2.0,484.0,TA,TA,Y,120,0,158,0,0,None,None,0,6,2007,WD ,Normal,914452190.0,302 OPAL CIR,1980-1999,24,24,2164.0,1.5,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,1,0,0,0,1,0,0,0,0,0,"302 OPAL CIR, Iowa, United STATES",41.99419902380953,-93.60742948809524
535425060,1312,186000,20,RL,76.0,11355,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Story,7,7,1958,2001,Gable,Tar&Grv,HdBoard,HdBoard,BrkFace,125.0,TA,No,BLQ,637.0,Unf,0.0,675.0,1312.0,GasA,Ex,1,SBrkr,1312,0,0,0.0,0.0,1,1,3,1,6,Typ,1,Gd,Attchd,1958.0,RFn,2.0,495.0,TA,TA,Y,0,304,144,0,0,MnPrv,Othr,6500,4,2008,WD ,Normal,535425060.0,1903 MEADOWLANE AVE,1940-1979,50,7,2624.0,1.5,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,1,0,0,1,0,0,0,0,0,0,"1903 MEADOWLANE AVE, Iowa, United STATES",42.04129604081633,-93.60521567346939
